Organisation Name,NACS Code,Organisation Type,Address1,Address2,Address3,Address4,Address5,PostCode,Telephone Number,NHS.UK users rating,Value  (NHS.UK users rating),Banding Classification  (NHS.UK users rating),Registered patients,Value  (Registered patients),Banding Classification  (Registered patients),Electronic prescription service,Value  (Electronic prescription service),Banding Classification  (Electronic prescription service),Weekday evening and weekend appointments offered here or nearby,Value  (Weekday evening and weekend appointments offered here or nearby),Banding Classification  (Weekday evening and weekend appointments offered here or nearby),Online appointment booking,Value  (Online appointment booking),Banding Classification  (Online appointment booking),Order or view repeat prescriptions online,Value  (Order or view repeat prescriptions online),Banding Classification  (Order or view repeat prescriptions online),Car parking (Is there car parking at this organisation?)
Whitechapel Health Centre,F84039,GPB,44 Hessel Street,(Entrance On Burslem Street),,London,Greater London,E1 2LP,Tel: 02077022036,73 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F84039,,,12950 patients,12950,,,Yes,yes,YES Contact practice for appointment availability,YES,,16.61% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,16.61%,yes,16.44% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,16.44%,yes,yes
City Wellbeing Practice,F84114,GPB,129 Cannon Street Road,,,London,Greater London,E1 2LX,Tel: 02074884240,12 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F84114,,,6571 patients,6571,,,Yes,yes,YES Contact practice for appointment availability,YES,,40.15% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,40.15%,yes,40.11% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,40.11%,yes,
Falmouth Road Group Practice,G85029,GPB,78 Falmouth Road,Borough,,London,Greater London,SE1 4JW,Tel: 02074074101,59 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G85029,,,7938 patients,7938,,,Yes,yes,YES Contact practice for appointment availability,YES,,22.71% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,22.71%,yes,22.09% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,22.09%,yes,yes
Bermondsey Spa Medical Centre,G85623,GPB,50 Old Jamaica Road,,,London,Greater London,SE16 4BN,Tel: 02034746000,60 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G85623,,,11208 patients,11208,,,Yes,yes,YES Contact practice for appointment availability,YES,,13.01% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,13.01%,yes,12.85% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,12.85%,yes,no
Southwark Care Homes-GP Practice,Y06113,GPB,Spa Medical,50 Old Jamaica Road,,London,Greater London,SE16 4BL,Tel: 020 30497249,No ratings yet Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=144912,0,0,387 patients,387,,,Yes,yes,YES Contact practice for appointment availability,YES,, Online appointment booking is not yet available,,no, Viewing or ordering prescriptions online is not yet available,,no,
City Road Medical Centre,F83064,GPB,190 - 196 City Road,,,London,Greater London,EC1V 2QH,Tel: 02073368170,19 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F83064,,,7688 patients,7688,,,Yes,yes,YES Contact practice for appointment availability,YES,,34.84% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,34.84%,yes,34.81% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,34.81%,yes,
The Wapping Group Practice,F84079,GPB,Wapping Health Centre,22 Wapping Lane,,London,Greater London,E1W 2RL,Tel: 02074819376,39 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F84079,,,10808 patients,10808,,,Yes,yes,YES Contact practice for appointment availability,YES,,28.08% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,28.08%,yes,28.07% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,28.07%,yes,no
The Blithehale Medical Centre,F84718,GPB,22 Dunbridge Street,,,London,Greater London,E2 6JA,Tel: 02077395497,27 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F84718,,,15032 patients,15032,,,Yes,yes,YES Contact practice for appointment availability,YES,,36.53% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,36.53%,yes,36.52% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,36.52%,yes,
Artesian Health Centre ( Main Site Decima Street),G85034001,GPB,138 Grange Road,,,London,Greater London,SE1 3GF,Tel: 02074033618,21 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G85034001,,,76633 patients,76633,,,Yes,yes,YES Contact practice for appointment availability,YES,,13.69% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,13.69%,yes,13.66% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,13.66%,yes,
Nexus Health Group,G85034,GPB,2 Princess Street,,,London,Greater London,SE1 6JP,Tel: 02079280253,26 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=39835,51.9,3.0,76633 patients,76633,,,Yes,yes,YES Contact practice for appointment availability,YES,,13.69% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,13.69%,yes,13.66% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,13.66%,yes,no
EAST ONE HEALTH,F84682,GPB,14 Deancross Street,,,London,Greater London,E1 2QA,Tel: 02077902978,45 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F84682,,,11006 patients,11006,,,Yes,yes,YES Contact practice for appointment availability,YES,,34.79% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,34.79%,yes,34.79% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,34.79%,yes,no
St Philips Medical Centre,F83672,GPB,"Tower 3, 2nd Floor",Clement's Inn,,London,Greater London,WC2A 2AZ,Tel: 02076115131,10 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F83672,,,10616 patients,10616,,,Yes,yes,YES Contact practice for appointment availability,YES,,27.15% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,27.15%,yes,27.02% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,27.02%,yes,
ALBION HEALTH CENTRE,F84012,GPB,333 Whitechapel Road,,,London,Greater London,E1 1BU,Tel: 02074569820,54 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F84012,,,9187 patients,9187,,,Yes,yes,YES Contact practice for appointment availability,YES,,32.58% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,32.58%,yes,31.14% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,31.14%,yes,
STROUTS PLACE MEDICAL CENTRE,F84051,GPB,3 Strouts Place,,,London,Greater London,E2 7QU,Tel: 02077398859,36 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F84051,,,5371 patients,5371,,,Yes,yes,YES Contact practice for appointment availability,YES,,28.73% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,28.73%,yes,27.47% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,27.47%,yes,yes
Dr John Segarajasinghe,F83678,GPB,17 Pine Street,Islington,,London,Greater London,EC1R 0LP,Tel: 02077135256,10 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F83678,,,2498 patients,2498,,,Yes,yes,YES Contact practice for appointment availability,YES,,20.95% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,20.95%,yes,20.95% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,20.95%,yes,yes
Clerkenwell Medical Practice,F83624,GPB,17 Pine Street,,,London,Greater London,EC1R 0LP,Tel: 02078335906,14 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F83624,,,14153 patients,14153,,,Yes,yes,YES Contact practice for appointment availability,YES,,37.07% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,37.07%,yes,36.92% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,36.92%,yes,no
Waterloo Health Centre,G85136,GPB,5 Lower Marsh,,,London,Greater London,SE1 7RJ,Tel: 02079284049,30 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G85136,,,12428 patients,12428,,,Yes,yes,YES Contact practice for appointment availability,YES,,55.54% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,55.54%,yes,55.55% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,55.55%,yes,no
Kings College Health Centre,E87768,GPB,Bush House,"3rd Floor, South East Wing",300 Strand,London,Greater London,WC2B 4PJ,Tel: 02078482613,12 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=E87768,,,16723 patients,16723,,,Yes,yes,YES Contact practice for appointment availability,YES,,89.25% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,89.25%,yes,89.24% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-2.aspx,89.24%,yes,
BETHNAL GREEN HEALTH CENTRE,F84083,GPB,60 Florida Street,,,London,Greater London,E2 6LL,Tel: 02077396677,5 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F84083,,,8309 patients,8309,,,Yes,yes,YES Contact practice for appointment availability,YES,,25.22% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,25.22%,yes,24.95% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,24.95%,yes,
Old Kent Road Surgery,G85052,GPB,182-184 Old Kent Road,,,London,Greater London,SE1 5TY,Tel: 02072526272,23 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G85052,,,10239 patients,10239,,,Yes,yes,YES Contact practice for appointment availability,YES,,36.76% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,36.76%,yes,36.50% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,36.50%,yes,
Dr At Bradford's Practice,G85721,GPB,301 East Street,,,London,Greater London,SE17 2SX,Tel: 02077034550,4 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G85721,,,7876 patients,7876,,,Yes,yes,YES Contact practice for appointment availability,YES,,23.72% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,23.72%,yes,23.73% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,23.73%,yes,
Villa Street Branch Site,G85632001,GPB,"Dr's Room, Equinox",Crisis & Assessment Centre,124 Brook Drive,London,Greater London,SE11 4TQ,,No ratings yet Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=151893,0,0,7952 patients,7952,,,Yes,yes,N/A - Data not available,,,52.28% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,52.28%,yes,52.15% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,52.15%,yes,
Pollard Row Practice,Y00212,GPB,47 Pollard Row,,,London,Greater London,E2 6NA,Tel: 02077297942,6 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=Y00212,,,4717 patients,4717,,,Yes,yes,YES Contact practice for appointment availability,YES,,20.50% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,20.50%,yes,20.46% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,20.46%,yes,no
Aylesbury Partnership The Dun Cow Surgery,G85034005,GPB,279 Old Kent Road,,,London,Greater London,SE1 5LU,Tel: 2033023007,8 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G85034005,,,76633 patients,76633,,,Yes,yes,YES Contact practice for appointment availability,YES,,13.69% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,13.69%,yes,13.66% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,13.66%,yes,
JUBILEE STREET PRACTICE,F84031,GPB,368-374 Commercial Road,,,London,Greater London,E1 0LS,Tel: 02077808000,50 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F84031,,,12808 patients,12808,,,Yes,yes,YES Contact practice for appointment availability,YES,,38.20% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,38.20%,yes,38.14% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,38.14%,yes,no
Grays Inn Road Medical Practice,F83042,GPB,77 Grays Inn Road,Holborn,,London,Greater London,WC1X 8TS,Tel: 02074059360,43 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F83042,,,7058 patients,7058,,,Yes,yes,YES Contact practice for appointment availability,YES,,14.86% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,14.86%,yes,14.84% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,14.84%,yes,
Brayford Square Surgery,F84046,GPB,5 Brayford Square,,,London,Greater London,E1 0SG,Tel: 02036675009,21 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F84046,,,3537 patients,3537,,,Yes,yes,YES Contact practice for appointment availability,YES,,34.90% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,34.90%,yes,34.87% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,34.87%,yes,no
The Hoxton Surgery,F84692,GPB,12 Rushton Street,,,London,Greater London,N1 5DR,Tel: 02034870200,11 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=44773,63.6,3.5,7367 patients,7367,,,Yes,yes,YES Contact practice for appointment availability,YES,,33.63% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,33.63%,yes,33.55% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,33.55%,yes,
SHOREDITCH PARK SURGERY,F84635,GPB,10 Rushton Street,,,London,Greater London,N1 5DR,Tel: 02077398525,11 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F84635,,,9091 patients,9091,,,Yes,yes,YES Contact practice for appointment availability,YES,,23.95% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,23.95%,yes,23.91% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,23.91%,yes,
Aylesbury Partnership The Aylesbury Medical Centre,G85034002,GPB,Unit 6 Taplow,Thurlow Street,,London,Greater London,SE17 2XE,Tel: 2033023007,3 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G85034002,,,76633 patients,76633,,,Yes,yes,YES Contact practice for appointment availability,YES,,13.69% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,13.69%,yes,13.66% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,13.66%,yes,
Cable Street Surgery,F84682002,GPB,445 Cable Street,,,London,Greater London,E1W 3DE,Tel: 02074239022,23 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F84682002,,,11006 patients,11006,,,Yes,yes,YES Contact practice for appointment availability,YES,,34.79% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,34.79%,yes,34.79% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,34.79%,yes,
The Lawson Practice,F84096,GPB,St Leonards Hospital,85 Nuttall Street,,London,Greater London,N1 5HZ,Tel: 02035386044,67 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F84096,,,13065 patients,13065,,,Yes,yes,YES Contact practice for appointment availability,YES,,48.30% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,48.30%,yes,47.93% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,47.93%,yes,
Lambeth Walk Group Practice,G85054,GPB,5 Lambeth Walk,,,London,Greater London,SE11 6SP,Tel: 02077354412,3 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G85054,,,8771 patients,8771,,,Yes,yes,YES Contact practice for appointment availability,YES,,19.90% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,19.90%,yes,19.74% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,19.74%,yes,
The Walworth Partnership,G85034006,GPB,1 Manor Place,,,London,Greater London,SE17 3BD,Tel: 02077086599,10 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=G85034006,,,76633 patients,76633,,,Yes,yes,YES Contact practice for appointment availability,YES,,13.69% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,13.69%,yes,13.66% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,13.66%,yes,yes
Amwell Group Practice,F83652,GPB,4 Naoroji Street,,,London,Greater London,WC1X 0GB,Tel: 02078372020,20 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F83652,,,11328 patients,11328,,,Yes,yes,YES Contact practice for appointment availability,YES,,31.72% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,31.72%,yes,31.68% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,31.68%,yes,yes
Albion Street Group Practice,G85138,GPB,Albion Street Health Centre,87 Albion Street,,London,Greater London,SE16 7JX,Tel: 02030497120,15 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=44732,73.3,4.0,15561 patients,15561,,,Yes,yes,YES Contact practice for appointment availability,YES,,31.61% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,31.61%,yes,31.51% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,31.51%,yes,yes
The Holborn Medical Centre,F83058,GPB,64 - 66 Lamb's Conduit Street,Holborn,,London,Greater London,WC1N 3NA,Tel: 02030770044,22 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F83058,,,11587 patients,11587,,,Yes,yes,YES Contact practice for appointment availability,YES,,16.47% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,16.47%,yes,16.35% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,16.35%,yes,
Whiston Road Surgery,F84041001,GPB,219 Kingsland Road,,,London,Greater London,E2 8AN,Tel: 02077398625,3 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=F84041001,,,7725 patients,7725,,,Yes,yes,YES Contact practice for appointment availability,YES,,53.58% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,53.58%,yes,52.63% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,52.63%,yes,
Hurley Clinic,G85053,GPB,Ebenezer House,Kennington Lane,,London,Greater London,SE11 4HJ,Tel: 02077357918,22 ratings Rate it yourself - /Services/GP/LeaveReview/DefaultView.aspx?id=41451,44.3,2.5,26338 patients,26338,,,Yes,yes,YES Contact practice for appointment availability,YES,,20.37% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,20.37%,yes,20.15% of patients are signed up to this service  - http://www.nhs.uk/NHSEngland/online-services/Pages/gp-services-choice-1.aspx,20.15%,yes,yes
