Organisation Name,NACS Code,Organisation Type,Address1,Address2,Address3,Address4,Address5,PostCode,Telephone Number,NHS.UK users rating,Value  (NHS.UK users rating),Banding Classification  (NHS.UK users rating),Care Quality Commission inspection ratings,Value  (Care Quality Commission inspection ratings),Banding Classification  (Care Quality Commission inspection ratings),Recommended by staff,Value  (Recommended by staff),Banding Classification  (Recommended by staff),Mortality rate (in hospital and up to 30 days after discharge),Value  (Mortality rate (in hospital and up to 30 days after discharge)),Banding Classification  (Mortality rate (in hospital and up to 30 days after discharge)),Food: Choice and Quality,Value  (Food: Choice and Quality),Banding Classification  (Food: Choice and Quality),Car parking (Is there car parking at this organisation?),A&E (A&E onsite Comparison),Disabled access (Disabled access),Induction loop (Induction loop in place)
"National Hospital For Neurology and Neurosurgery, Queen Square",RRVNQ,HOS,,Queen Square,,London,,WC1N 3BG,Tel: 020 3456 7890,86 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RRVNQ,,,Good Visit CQC profile - http://www.cqc.org.uk/location/RRVNQ,2,cqc-good,Among the best with a value of 83%,83,tick,Lower number of deaths than expected,0.757,tick,93.59% Among the best,93.59%,Tick,,,yes,no
BMI The London Independent Hospital,NT422,HOS,,1 Beaumont Square,Stepney Green,London,,E1 4NL,Tel: 020 7780 2400,32 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT422,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-128766965,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,97.21%,Tick,yes,,yes,yes
"Royal National Throat, Nose and Ear Hospital",RRVRN,HOS,,330 Grays Inn Road,,London,,WC1X 8DA,Tel: 020 3456 7890,28 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RRVRN,,,Not yet rated,,doesnotapply,Among the best with a value of 83%,83,tick,Lower number of deaths than expected,0.757,tick,75.09% Within the middle range,75.09%,OK,,,,
The Tower Hamlets Centre For Mental Health,RWK61,HOS,Bancroft Road,Mile End,,London,Greater London,E1 4DG,Tel: 020 8121 5001,8 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RWK61,,,Not yet rated,,doesnotapply,Within expected range with a value of 69%,69,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,no,,,
Mile End Hospital,R1H13,HOS,Bancroft Road,,,London,,E1 4DG,Tel: 020 7377 7000,14 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=R1H13,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/R1H13,5,cqc-norating,Within expected range with a value of 66%,66,ok,Number of deaths within the expected range,0.907,ok,95.91% Among the best,95.91%,Tick,yes,,Data not available,Data not available
Royal National ENT and Eastman Dental Hospitals,RRVP5,HOS,,47-49 Huntley St,,,,WC1E 6DG,,2 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RRVP5,,,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Lower number of deaths than expected,0.757,tick,No relevant data available,,doesnotapply,Data not available,,,
Royal National Ent And Eastman Dental Hospitals,RRVP5,HOS,Huntley Street,,,London,Greater London,WC1E 6DD,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RRVP5,0,0,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Lower number of deaths than expected,0.757,tick,No relevant data available,,doesnotapply,,,,
Hospital For Tropical Diseases,RRVRH,HOS,Mortimer Market Centre,Mortimer Market,Off Capper Street,London,,WC1E 6JD,Tel: 020 3456 7891,11 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RRVRH,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/RRVRH,5,cqc-norating,Among the best with a value of 83%,83,tick,Lower number of deaths than expected,0.757,tick,No relevant data available,,doesnotapply,Data not available,,yes,no
University College Hospital,RRV03,HOS,University College Hospital,235 Euston Road,,London,,NW1 2BU,Tel: 020 3456 7890,177 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RRV03,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/RRV03,3,cqc-requiresimp,Among the best with a value of 83%,83,tick,Lower number of deaths than expected,0.757,tick,85.59% Among the best,85.59%,Tick,no,,yes,yes
Fitzroy Square Hospital,DDE02,HOS,Adam House,1 Fitzroy Square,,London,Greater London,W1T 5HF,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=DDE02,0,0,Good Visit CQC profile - http://www.cqc.org.uk/location/1-3017252981,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Mya St Lukes Hospital,AWT01,HOS,14 Fitzroy Square,,,London,Greater London,W1T 5HP,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=AWT01,0,0,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
The Gordon Hospital,RV346,HOS,Bloomburg Street,,,London,,SW1V 2RH,Tel: 020 3315 8733,3 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RV346,,,Not yet rated,,doesnotapply,Within expected range with a value of 64%,64,ok,Not available for independent or specialist hospitals,,doesnotapply,91.99% Among the best,91.99%,Tick,no,,,
Royal National Orthopaedic Hospital (Bolsover Street),RAN02,HOS,45-51 Bolsover Street,,,London,Greater London,W1W 5AQ,Tel: 020 8954 2300,3 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RAN02,,,Good Visit CQC profile - http://www.cqc.org.uk/location/RAN02,2,cqc-good,Among the best with a value of 88%,88,tick,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,no,,,
St Pancras Hospital,RV3DY,HOS,Inpatient Unit,South Wing,4 St. Pancras Way,London,,NW1 0PE,Tel: 020 3317 3500,6 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RV3DY,,,Not yet rated,,doesnotapply,Within expected range with a value of 64%,64,ok,Not available for independent or specialist hospitals,,doesnotapply,,96.79%,Tick,,,,
Optegra Eye Hospital Central London,NNH10,HOS,25 Queen Anne Street,,,London,Greater London,W1G 9HT,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NNH10,0,0,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
London Welbeck Hospital,AXC01,HOS,27 Welbeck Street,,,London,Greater London,W1G 8EN,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=AXC01,0,0,No rating Visit CQC profile - http://www.cqc.org.uk/location/1-114202293,5,cqc-norating,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
University College Hospital at Westmoreland Street,RRV30,HOS,University College Hospital at Westmoreland Street,16-18 Westmoreland Street,,London,,W1G 8PH,Tel: 020 3456 7898,24 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RRV30,,,Not yet rated,,doesnotapply,Among the best with a value of 83%,83,tick,Lower number of deaths than expected,0.757,tick,81.76% Among the best,81.76%,Tick,,,yes,no
Weymouth Street Hospital,DM801,HOS,42-46 Weymouth Street,,,London,Greater London,W1G 6NP,Tel: 020 7935 1200,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=DM801,0,0,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Maudsley Hospital,RV504,HOS,,Denmark Hill,,London,,SE5 8AZ,Tel: 020 3228 6000,8 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RV504,,,Not yet rated,,doesnotapply,Within expected range with a value of 61%,61,ok,Not available for independent or specialist hospitals,,doesnotapply,74.09% Within the middle range,74.09%,OK,yes,,yes,yes
King's College Hospital,RJZ01,HOS,,Denmark Hill,,London,,SE5 9RS,Tel: 020 3299 9000,196 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RJZ01,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/RJZ01,3,cqc-requiresimp,Within expected range with a value of 71%,71,ok,Number of deaths within the expected range,0.955,ok,91.52% Among the best,91.52%,Tick,yes,,yes,yes
Uclh Outreach: The Princess Grace Hospital,RRV92,HOS,42-52 Nottingham Place,,,London,Greater London,W1U 5NY,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RRV92,0,0,Not yet rated,,doesnotapply,Among the best with a value of 83%,83,tick,Lower number of deaths than expected,0.757,tick,No relevant data available,,doesnotapply,,,,
Camden Mews Day Hospital,TAF21,HOS,1-5 Camden Mews,,,London,Greater London,NW1 9DB,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=TAF21,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 59%,59,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Homerton University Hospital,RQXM1,HOS,Homerton Row,Homerton Row,,London,Greater London,E9 6SR,Tel: 020 8510 5555,111 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RQXM1,,,Good Visit CQC profile - http://www.cqc.org.uk/location/RQXM1,2,cqc-good,Within expected range with a value of 75%,75,ok,Lower number of deaths than expected,0.78,tick,92.05% Among the best,92.05%,Tick,yes,,yes,no
City And Hackney Centre For Mental Health,RWK62,HOS,Homerton Row,,,London,Greater London,E9 6SR,Tel: 020 8510 8117,3 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RWK62,,,Not yet rated,,doesnotapply,Within expected range with a value of 69%,69,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
The Lodge,RWK06,HOS,,1 Crozier Terrace,,London,,E9 6AT,Tel: 020 8510 2340,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RWK06,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 69%,69,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
The John Howard Centre,RWK60,HOS,Forensic Centre for Mental Health,12 Kenworthy Road,Homerton,London,,E9 5TD,Tel: 020 8510 2003,1 rating Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RWK60,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/RWK60,5,cqc-norating,Within expected range with a value of 69%,69,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
The Lister Hospital,RVVP4,HOS,Chelsea Bridge Road,,,London,Greater London,SW1W 8RH,,1 rating Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RVVP4,,,Not yet rated,,doesnotapply,Within expected range with a value of 54%,54,ok,Number of deaths within the expected range,1.085,ok,No relevant data available,,doesnotapply,,,,
Western Eye Hospital,RYJ07,HOS,153-173 Marylebone Road,,,London,,NW1 5QH,Tel: 020 3312 6666,73 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RYJ07,,,Not yet rated,,doesnotapply,Within expected range with a value of 73%,73,ok,Lower number of deaths than expected,0.696,tick,96.08% Among the best,96.08%,Tick,no,,no,no
Nightingale Hospital,NT822,HOS,11-19 Lisson Grove,Marylebone,,London,,NW1 6SH,Tel: 020 7535 7700,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT822,0,0,Good Visit CQC profile - http://www.cqc.org.uk/location/1-109980250,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Lambeth Hospital,RV502,HOS,108 Landor Road,108 Landor Road,,London,,SW9 9NU,Tel: 020 3228 6000,3 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RV502,,,Not yet rated,,doesnotapply,Within expected range with a value of 61%,61,ok,Not available for independent or specialist hospitals,,doesnotapply,83.80% Among the best,83.80%,Tick,no,,yes,no
Dulwich Community Hospital,RJ129,HOS,East Dulwich Grove,,,London,Greater London,SE22 8PT,,4 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RJ129,,,Not yet rated,,doesnotapply,Among the best with a value of 88%,88,tick,Lower number of deaths than expected,0.733,tick,No relevant data available,,doesnotapply,,,,
St Mary's Hospital (HQ),RYJ01,HOS,Praed Street,,,London,,W2 1NY,Tel: 020 3312 6666,171 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RYJ01,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/RYJ01,3,cqc-requiresimp,Within expected range with a value of 73%,73,ok,Lower number of deaths than expected,0.696,tick,87.46% Among the best,87.46%,Tick,yes,,yes,yes
Royal Brompton Hospital,RT302,HOS,Sydney Street,,,London,Greater London,SW3 6NP,Tel: 020 7352 8121,20 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RT302,,,Good Visit CQC profile - http://www.cqc.org.uk/location/RT302,2,cqc-good,Among the best with a value of 90%,90,tick,Not available for independent or specialist hospitals,,doesnotapply,96.07% Among the best,96.07%,Tick,yes,,yes,yes
Wellington Hospital,NW611,HOS,Wellington South,Wellington Place,,London,,NW8 9LE,Tel: 020 3603 3844,5 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NW611,,,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
The Royal Marsden Hospital (London),RPY01,HOS,Fulham Road,,,London,Greater London,SW3 6JJ,Tel: 020 7352 8171,17 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RPY01,,,Outstanding Visit CQC profile - http://www.cqc.org.uk/location/RPY01,1,cqc-outstanding,Among the best with a value of 92%,92,tick,Not available for independent or specialist hospitals,,doesnotapply,96.49% Among the best,96.49%,Tick,no,,yes,yes
Cygnet Hospital Blackheath,NMJ05,HOS,,80-82 Blackheath Hill,,London,,SE10 8AD,Tel: 020 8694 2111,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NMJ05,0,0,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/1-130486688,3,cqc-requiresimp,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Hospital Of St John & St Elizabeth,RAL25,HOS,60 Grove End Road,,,London,Greater London,NW8 9NH,,1 rating Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RAL25,,,Not yet rated,,doesnotapply,Within expected range with a value of 74%,74,ok,Lower number of deaths than expected,0.8,tick,No relevant data available,,doesnotapply,,,,
The Whittington Hospital,RKEQ4,HOS,Magdala Avenue,Magdala Avenue,,London,,N19 5NF,Tel: 020 7272 3070,98 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RKEQ4,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/RKEQ4,3,cqc-requiresimp,Within expected range with a value of 71%,71,ok,Lower number of deaths than expected,0.815,tick,90.88% Among the best,90.88%,Tick,yes,,yes,no
Royal Free Hospital,RAL01,HOS,,Pond Street,,London,,NW3 2QG,Tel: 020 7794 0500,179 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RAL01,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/RAL01,3,cqc-requiresimp,Within expected range with a value of 74%,74,ok,Lower number of deaths than expected,0.8,tick,91.55% Among the best,91.55%,Tick,yes,,yes,yes
Chelsea and Westminster Hospital,RQM01,HOS,369 Fulham Road,,,London,,SW10 9NH,Tel: 020 3315 8000,126 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RQM01,,,Good Visit CQC profile - http://www.cqc.org.uk/location/RQM01,2,cqc-good,Within expected range with a value of 78%,78,ok,Lower number of deaths than expected,0.748,tick,96.22% Among the best,96.22%,Tick,yes,,yes,yes
Bupa Cromwell Hospital,NV7R1,HOS,164-178 Cromwell Road,,,London,,SW5 0TU,Tel: 020 7460 2000,3 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NV7R1,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-130440888,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,no,,,
St. Ann's Hospital,RKEAN,HOS,St. Ann's Road,,,London,Greater London,N15 3TH,,5 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RKEAN,,,Not yet rated,,doesnotapply,Within expected range with a value of 71%,71,ok,Lower number of deaths than expected,0.815,tick,No relevant data available,,doesnotapply,,,,
University Hospital Lewisham,RJ224,HOS,Lewisham High Street,,,London,,SE13 6LH,Tel: 020 8333 3000,117 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RJ224,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/RJ224,3,cqc-requiresimp,Within expected range with a value of 54%,54,ok,Number of deaths within the expected range,0.922,ok,94.62% Among the best,94.62%,Tick,yes,,yes,yes
The New Foscote Hospital (Ginsburg Yard),DX102,HOS,Ground Floor,Ginsburg Yard,,London,,NW3 1EW,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=DX102,0,0,Not yet rated,,doesnotapply,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
BMI The Blackheath Hospital,NT406,HOS,,40 - 42 Lee Terrace,,London,,SE3 9UD,Tel: 020 8318 7722,15 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NT406,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-128758547,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,,97.14%,Tick,yes,,yes,yes
Cygnet Lodge Lewisham,NMJ13,HOS,,44 Lewisham Park,Lewisham,London,,SE13 6QZ,Tel: 020 8314 5123,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NMJ13,0,0,Good Visit CQC profile - http://www.cqc.org.uk/location/1-130486872,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Newham General Hospital,R1HNH,HOS,Glen Road,Plaistow,,London,,E13 8SL,Tel: 020 7476 4000,145 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=R1HNH,,,Requires Improvement Visit CQC profile - http://www.cqc.org.uk/location/R1HNH,3,cqc-requiresimp,Within expected range with a value of 66%,66,ok,Number of deaths within the expected range,0.907,ok,89.90% Among the best,89.90%,Tick,yes,,yes,yes
Gateway Surgical Centre,R1H11,HOS,Glen Road,Plaistow,,London,,E13 8SL,Tel: 020 7055 5550,2 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=R1H11,,,Not yet rated,,doesnotapply,Within expected range with a value of 66%,66,ok,Number of deaths within the expected range,0.907,ok,No relevant data available,,doesnotapply,yes,,yes,yes
Newham Centre for Mental Health,RWK46,HOS,,Cherry Tree Way,Glen Road,London,,E13 8SP,Tel: 020 7540 4380,7 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RWK46,,,Not yet rated,,doesnotapply,Within expected range with a value of 69%,69,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Hornsey Central Neighbourhood Health Centre,RKEHC,HOS,151 Park Road,151 Park Road,,London,Greater London,N8 8JD,,1 rating Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RKEHC,,,Not yet rated,,doesnotapply,Within expected range with a value of 71%,71,ok,Lower number of deaths than expected,0.815,tick,No relevant data available,,doesnotapply,,,,
Highgate Private Hospital,NYW03,HOS,17 - 19 View Road,,,London,,N6 4DJ,Tel: 020 8341 4182,5 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=NYW03,,,Good Visit CQC profile - http://www.cqc.org.uk/location/1-1890546867,2,cqc-good,No relevant data available,,doesnotapply,Not available for independent or specialist hospitals,,doesnotapply,88.11% Among the best,88.11%,Tick,yes,,yes,no
Lewisham Heather Close,RV581,HOS,1-5 Heather Close,Hither Green,,London,Greater London,SE13 6UG,Tel: 020 3228 0720,1 rating Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RV581,,,No rating Visit CQC profile - http://www.cqc.org.uk/location/RV581,5,cqc-norating,Within expected range with a value of 61%,61,ok,Not available for independent or specialist hospitals,,doesnotapply,,75.49%,OK,,,,
"St Charles Hospital, Mental Health Unit",RV320,HOS,Mental Health Unit,Exmoor Street,,"Kensington and Chelsea, London",,W10 6DZ,Tel: 020 8206 7000,6 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RV320,,,Not yet rated,,doesnotapply,Within expected range with a value of 64%,64,ok,Not available for independent or specialist hospitals,,doesnotapply,92.45% Among the best,92.45%,Tick,,,,
Elderly Day Hospital,RV378,HOS,2 Exmoor Street,,,London,Greater London,W10 6BD,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RV378,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 64%,64,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
Fordwych Road Day Hospital,TAF36,HOS,85-87 Fordwych Road,,,London,Greater London,NW2 3TL,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=TAF36,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 59%,59,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
East Ham Care Centre,RWK89,HOS,,Shrewsbury Road,East Ham,London,,E7 8QP,Tel: 020 8475 2001,2 ratings Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=RWK89,,,Not yet rated,,doesnotapply,Within expected range with a value of 69%,69,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
St Lukes Woodside Hospital,TAF02,HOS,Woodside Avenue,,,London,Greater London,N10 3HU,,No ratings yet Rate it yourself - /Services/hospitals/LeaveReview/DefaultView.aspx?id=TAF02,0,0,Not yet rated,,doesnotapply,Within expected range with a value of 59%,59,ok,Not available for independent or specialist hospitals,,doesnotapply,No relevant data available,,doesnotapply,,,,
