LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs)
E01000011,Barking and Dagenham 016C,E09000002,Barking and Dagenham,30.679,7698.000,3.000,0.167,9033.000,3.000,0.081,16108.000,5.000,22.519,12224.000,4.000,-0.137,18178.000,6.000,0.526,8727.000,3.000,52.948,110.000,1.000,39.857,4309.000,2.000
E01000012,Barking and Dagenham 015D,E09000002,Barking and Dagenham,34.714,5990.000,2.000,0.239,4570.000,2.000,0.096,13201.000,5.000,19.774,13896.000,5.000,-0.056,16887.000,6.000,0.542,8515.000,3.000,56.507,39.000,1.000,36.881,5437.000,2.000
E01000013,Barking and Dagenham 013A,E09000002,Barking and Dagenham,38.997,4573.000,2.000,0.213,5966.000,2.000,0.145,7013.000,3.000,24.003,11346.000,4.000,0.670,7172.000,3.000,1.199,2236.000,1.000,45.252,1018.000,1.000,30.424,8569.000,3.000
E01000014,Barking and Dagenham 013B,E09000002,Barking and Dagenham,35.670,5650.000,2.000,0.201,6627.000,3.000,0.135,7932.000,3.000,31.501,7994.000,3.000,0.350,10972.000,4.000,0.825,5163.000,2.000,46.135,872.000,1.000,25.122,11704.000,4.000
E01000015,Barking and Dagenham 009A,E09000002,Barking and Dagenham,33.632,6405.000,2.000,0.216,5755.000,2.000,0.123,9271.000,3.000,26.013,10318.000,4.000,0.025,15626.000,5.000,0.372,10845.000,4.000,50.400,278.000,1.000,25.696,11351.000,4.000
E01000016,Barking and Dagenham 009B,E09000002,Barking and Dagenham,32.839,6739.000,3.000,0.199,6711.000,3.000,0.122,9461.000,3.000,28.996,8971.000,3.000,0.373,10676.000,4.000,0.528,8699.000,3.000,43.772,1273.000,1.000,24.950,11815.000,4.000
E01000017,Barking and Dagenham 009C,E09000002,Barking and Dagenham,39.004,4570.000,2.000,0.250,4033.000,2.000,0.169,5016.000,2.000,22.899,11972.000,4.000,0.694,6950.000,3.000,0.317,11685.000,4.000,45.929,902.000,1.000,27.688,10141.000,4.000
E01000018,Barking and Dagenham 009D,E09000002,Barking and Dagenham,33.406,6504.000,2.000,0.212,5998.000,2.000,0.136,7832.000,3.000,26.358,10125.000,4.000,0.273,12006.000,4.000,0.457,9663.000,3.000,43.512,1323.000,1.000,25.659,11373.000,4.000
E01000019,Barking and Dagenham 023A,E09000002,Barking and Dagenham,33.620,6410.000,2.000,0.194,7049.000,3.000,0.138,7641.000,3.000,26.111,10264.000,4.000,0.477,9374.000,3.000,0.645,7142.000,3.000,41.248,1855.000,1.000,26.826,10667.000,4.000
E01000020,Barking and Dagenham 023B,E09000002,Barking and Dagenham,36.035,5520.000,2.000,0.216,5760.000,2.000,0.131,8401.000,3.000,24.184,11245.000,4.000,0.760,6282.000,2.000,0.651,7066.000,3.000,43.518,1319.000,1.000,30.078,8756.000,3.000
E01000021,Barking and Dagenham 008A,E09000002,Barking and Dagenham,38.888,4611.000,2.000,0.230,5007.000,2.000,0.136,7865.000,3.000,31.637,7939.000,3.000,0.418,10085.000,4.000,0.559,8283.000,3.000,45.544,961.000,1.000,44.214,3095.000,1.000
E01000022,Barking and Dagenham 008B,E09000002,Barking and Dagenham,34.413,6098.000,2.000,0.195,6941.000,3.000,0.139,7576.000,3.000,27.111,9771.000,3.000,0.427,9980.000,4.000,0.506,9002.000,3.000,44.277,1191.000,1.000,30.435,8559.000,3.000
E01000023,Barking and Dagenham 008C,E09000002,Barking and Dagenham,36.877,5243.000,2.000,0.228,5088.000,2.000,0.108,11325.000,4.000,22.994,11907.000,4.000,0.033,15505.000,5.000,1.286,1812.000,1.000,45.846,912.000,1.000,39.968,4268.000,2.000
E01000024,Barking and Dagenham 008D,E09000002,Barking and Dagenham,29.339,8333.000,3.000,0.155,10056.000,4.000,0.100,12570.000,4.000,29.298,8860.000,3.000,0.263,12148.000,4.000,0.244,12816.000,4.000,45.704,940.000,1.000,29.869,8892.000,3.000
E01000025,Barking and Dagenham 008E,E09000002,Barking and Dagenham,36.702,5303.000,2.000,0.219,5570.000,2.000,0.138,7683.000,3.000,25.691,10465.000,4.000,0.395,10405.000,4.000,0.837,5042.000,2.000,47.029,707.000,1.000,28.042,9925.000,4.000
E01000027,Barking and Dagenham 001A,E09000002,Barking and Dagenham,37.347,5097.000,2.000,0.216,5730.000,2.000,0.146,6959.000,3.000,38.122,5869.000,2.000,0.148,13752.000,5.000,1.042,3211.000,1.000,44.976,1062.000,1.000,20.329,15032.000,5.000
E01000028,Barking and Dagenham 001B,E09000002,Barking and Dagenham,40.078,4240.000,2.000,0.260,3610.000,2.000,0.155,6080.000,2.000,27.699,9522.000,3.000,1.138,3254.000,1.000,-0.111,18303.000,6.000,48.625,494.000,1.000,16.282,18166.000,6.000
E01000029,Barking and Dagenham 001C,E09000002,Barking and Dagenham,22.503,12389.000,4.000,0.113,14506.000,5.000,0.075,17567.000,6.000,17.349,15570.000,5.000,-0.280,20355.000,7.000,0.350,11162.000,4.000,47.510,627.000,1.000,21.974,13867.000,5.000
E01000030,Barking and Dagenham 001D,E09000002,Barking and Dagenham,38.415,4760.000,2.000,0.264,3448.000,2.000,0.162,5569.000,2.000,38.753,5699.000,2.000,0.016,15751.000,5.000,0.499,9086.000,3.000,44.592,1127.000,1.000,20.993,14570.000,5.000
E01000031,Barking and Dagenham 002A,E09000002,Barking and Dagenham,22.672,12267.000,4.000,0.126,12951.000,4.000,0.075,17380.000,6.000,12.953,19087.000,6.000,0.046,15303.000,5.000,0.919,4231.000,2.000,34.140,4505.000,2.000,27.703,10136.000,4.000
E01000032,Barking and Dagenham 002B,E09000002,Barking and Dagenham,29.958,8037.000,3.000,0.146,10854.000,4.000,0.106,11603.000,4.000,23.035,11882.000,4.000,0.095,14597.000,5.000,0.913,4275.000,2.000,39.922,2210.000,1.000,38.369,4853.000,2.000
E01000033,Barking and Dagenham 006A,E09000002,Barking and Dagenham,37.978,4879.000,2.000,0.257,3732.000,2.000,0.136,7857.000,3.000,32.037,7805.000,3.000,0.278,11932.000,4.000,0.162,14128.000,5.000,55.686,52.000,1.000,21.763,14002.000,5.000
E01000034,Barking and Dagenham 003A,E09000002,Barking and Dagenham,35.895,5575.000,2.000,0.216,5759.000,2.000,0.147,6863.000,3.000,33.858,7148.000,3.000,0.661,7279.000,3.000,0.302,11900.000,4.000,45.083,1044.000,1.000,18.010,16800.000,6.000
E01000035,Barking and Dagenham 010A,E09000002,Barking and Dagenham,26.175,10070.000,4.000,0.150,10489.000,4.000,0.092,13897.000,5.000,25.536,10551.000,4.000,0.397,10364.000,4.000,0.242,12838.000,4.000,39.025,2476.000,1.000,23.071,13084.000,4.000
E01000036,Barking and Dagenham 010B,E09000002,Barking and Dagenham,19.270,15028.000,5.000,0.112,14690.000,5.000,0.073,17997.000,6.000,15.969,16612.000,6.000,-0.185,18923.000,6.000,0.386,10655.000,4.000,31.724,5829.000,2.000,27.612,10188.000,4.000
E01000037,Barking and Dagenham 003B,E09000002,Barking and Dagenham,17.988,16128.000,5.000,0.096,16924.000,6.000,0.101,12386.000,4.000,20.288,13611.000,5.000,-0.504,23465.000,8.000,-0.067,17649.000,6.000,29.715,7168.000,3.000,19.057,15997.000,5.000
E01000038,Barking and Dagenham 003C,E09000002,Barking and Dagenham,19.646,14671.000,5.000,0.127,12877.000,4.000,0.079,16560.000,6.000,18.702,14630.000,5.000,-0.103,17616.000,6.000,0.204,13426.000,5.000,27.945,8490.000,3.000,27.001,10547.000,4.000
E01000039,Barking and Dagenham 003D,E09000002,Barking and Dagenham,22.288,12542.000,4.000,0.127,12861.000,4.000,0.074,17820.000,6.000,19.753,13908.000,5.000,0.173,13416.000,5.000,0.092,15241.000,5.000,42.779,1472.000,1.000,17.527,17185.000,6.000
E01000040,Barking and Dagenham 019A,E09000002,Barking and Dagenham,34.608,6028.000,2.000,0.218,5648.000,2.000,0.123,9313.000,3.000,31.332,8063.000,3.000,0.155,13665.000,5.000,0.607,7641.000,3.000,45.801,915.000,1.000,29.323,9203.000,3.000
E01000041,Barking and Dagenham 017A,E09000002,Barking and Dagenham,33.173,6601.000,3.000,0.172,8647.000,3.000,0.105,11669.000,4.000,33.867,7142.000,3.000,0.349,10992.000,4.000,0.432,10010.000,4.000,48.606,501.000,1.000,33.127,7142.000,3.000
E01000042,Barking and Dagenham 017B,E09000002,Barking and Dagenham,41.573,3842.000,2.000,0.263,3492.000,2.000,0.164,5445.000,2.000,31.450,8009.000,3.000,0.526,8795.000,3.000,0.263,12499.000,4.000,57.015,32.000,1.000,24.750,11945.000,4.000
E01000043,Barking and Dagenham 019B,E09000002,Barking and Dagenham,28.075,8992.000,3.000,0.147,10803.000,4.000,0.085,15314.000,5.000,28.946,8996.000,3.000,0.044,15334.000,5.000,0.574,8080.000,3.000,42.921,1445.000,1.000,33.853,6764.000,3.000
E01000044,Barking and Dagenham 016D,E09000002,Barking and Dagenham,28.389,8825.000,3.000,0.133,12202.000,4.000,0.079,16632.000,6.000,22.263,12369.000,4.000,-0.410,22250.000,7.000,1.077,2950.000,1.000,42.638,1507.000,1.000,44.130,3119.000,1.000
E01000045,Barking and Dagenham 017C,E09000002,Barking and Dagenham,35.688,5639.000,2.000,0.188,7494.000,3.000,0.125,9056.000,3.000,24.013,11338.000,4.000,0.279,11924.000,4.000,1.214,2160.000,1.000,44.514,1145.000,1.000,35.245,6123.000,2.000
E01000046,Barking and Dagenham 017D,E09000002,Barking and Dagenham,29.763,8138.000,3.000,0.170,8795.000,3.000,0.111,10956.000,4.000,28.185,9321.000,3.000,0.222,12756.000,4.000,-0.026,17088.000,6.000,45.338,996.000,1.000,30.260,8655.000,3.000
E01000048,Barking and Dagenham 021B,E09000002,Barking and Dagenham,44.704,3117.000,1.000,0.341,1195.000,1.000,0.182,4191.000,2.000,26.490,10073.000,4.000,0.495,9163.000,3.000,0.246,12778.000,4.000,49.012,449.000,1.000,20.578,14836.000,5.000
E01000049,Barking and Dagenham 021C,E09000002,Barking and Dagenham,41.172,3928.000,2.000,0.290,2525.000,1.000,0.143,7156.000,3.000,27.852,9454.000,3.000,0.409,10214.000,4.000,0.376,10784.000,4.000,55.298,58.000,1.000,26.588,10818.000,4.000
E01000050,Barking and Dagenham 019C,E09000002,Barking and Dagenham,34.701,5994.000,2.000,0.176,8360.000,3.000,0.114,10452.000,4.000,22.642,12144.000,4.000,0.610,7817.000,3.000,0.740,6059.000,2.000,48.003,567.000,1.000,36.588,5545.000,2.000
E01000051,Barking and Dagenham 021D,E09000002,Barking and Dagenham,36.941,5228.000,2.000,0.234,4785.000,2.000,0.130,8540.000,3.000,28.197,9315.000,3.000,0.391,10460.000,4.000,0.859,4814.000,2.000,45.996,892.000,1.000,27.521,10252.000,4.000
E01000052,Barking and Dagenham 019D,E09000002,Barking and Dagenham,33.284,6549.000,2.000,0.188,7440.000,3.000,0.111,10931.000,4.000,27.403,9645.000,3.000,-0.153,18434.000,6.000,0.335,11417.000,4.000,51.774,163.000,1.000,38.532,4788.000,2.000
E01000053,Barking and Dagenham 020A,E09000002,Barking and Dagenham,40.044,4249.000,2.000,0.229,5037.000,2.000,0.126,8972.000,3.000,27.703,9519.000,3.000,0.701,6865.000,3.000,1.217,2144.000,1.000,49.479,395.000,1.000,26.503,10870.000,4.000
E01000054,Barking and Dagenham 018A,E09000002,Barking and Dagenham,29.788,8124.000,3.000,0.180,8012.000,3.000,0.096,13318.000,5.000,26.697,9978.000,4.000,0.198,13087.000,4.000,0.514,8887.000,3.000,42.507,1537.000,1.000,31.481,8004.000,3.000
E01000055,Barking and Dagenham 018B,E09000002,Barking and Dagenham,30.898,7604.000,3.000,0.211,6032.000,2.000,0.114,10475.000,4.000,27.143,9752.000,3.000,0.126,14090.000,5.000,0.047,15940.000,5.000,43.185,1392.000,1.000,29.369,9167.000,3.000
E01000056,Barking and Dagenham 018C,E09000002,Barking and Dagenham,35.903,5571.000,2.000,0.197,6839.000,3.000,0.144,7099.000,3.000,25.304,10670.000,4.000,0.455,9652.000,3.000,0.485,9269.000,3.000,51.736,165.000,1.000,23.506,12777.000,4.000
E01000057,Barking and Dagenham 012A,E09000002,Barking and Dagenham,32.887,6712.000,3.000,0.196,6909.000,3.000,0.118,9877.000,4.000,31.462,8006.000,3.000,0.097,14559.000,5.000,0.644,7156.000,3.000,43.725,1279.000,1.000,30.046,8781.000,3.000
E01000058,Barking and Dagenham 018D,E09000002,Barking and Dagenham,31.763,7176.000,3.000,0.199,6736.000,3.000,0.117,10069.000,4.000,25.845,10397.000,4.000,0.147,13772.000,5.000,0.358,11053.000,4.000,46.251,848.000,1.000,27.809,10066.000,4.000
E01000059,Barking and Dagenham 013C,E09000002,Barking and Dagenham,32.331,6950.000,3.000,0.176,8297.000,3.000,0.129,8597.000,3.000,28.140,9341.000,3.000,0.136,13932.000,5.000,0.414,10248.000,4.000,45.241,1021.000,1.000,32.699,7356.000,3.000
E01000060,Barking and Dagenham 006B,E09000002,Barking and Dagenham,36.154,5475.000,2.000,0.202,6512.000,2.000,0.129,8627.000,3.000,25.540,10548.000,4.000,0.282,11879.000,4.000,1.109,2737.000,1.000,48.530,509.000,1.000,24.729,11955.000,4.000
E01000061,Barking and Dagenham 006C,E09000002,Barking and Dagenham,46.283,2802.000,1.000,0.303,2125.000,1.000,0.186,3923.000,2.000,39.776,5414.000,2.000,1.013,4136.000,2.000,0.145,14393.000,5.000,49.627,375.000,1.000,15.967,18454.000,6.000
E01000062,Barking and Dagenham 006D,E09000002,Barking and Dagenham,26.669,9781.000,3.000,0.143,11124.000,4.000,0.088,14664.000,5.000,30.730,8286.000,3.000,-0.143,18285.000,6.000,0.558,8288.000,3.000,45.088,1042.000,1.000,20.153,15164.000,5.000
E01000063,Barking and Dagenham 004A,E09000002,Barking and Dagenham,33.371,6520.000,2.000,0.181,7943.000,3.000,0.124,9225.000,3.000,37.624,6017.000,2.000,0.286,11816.000,4.000,0.342,11295.000,4.000,41.886,1689.000,1.000,35.452,6036.000,2.000
E01000064,Barking and Dagenham 006E,E09000002,Barking and Dagenham,35.283,5791.000,2.000,0.208,6220.000,2.000,0.130,8440.000,3.000,24.438,11115.000,4.000,0.390,10490.000,4.000,0.212,13303.000,5.000,50.054,310.000,1.000,34.175,6602.000,3.000
E01000065,Barking and Dagenham 007A,E09000002,Barking and Dagenham,39.890,4296.000,2.000,0.228,5065.000,2.000,0.173,4770.000,2.000,26.185,10220.000,4.000,0.817,5745.000,2.000,0.324,11574.000,4.000,47.453,634.000,1.000,29.310,9210.000,3.000
E01000066,Barking and Dagenham 011A,E09000002,Barking and Dagenham,25.763,10329.000,4.000,0.147,10725.000,4.000,0.097,13108.000,4.000,18.294,14926.000,5.000,0.054,15169.000,5.000,-0.273,20658.000,7.000,50.656,249.000,1.000,17.916,16885.000,6.000
E01000067,Barking and Dagenham 011B,E09000002,Barking and Dagenham,20.973,13573.000,5.000,0.132,12329.000,4.000,0.066,19905.000,7.000,15.990,16594.000,6.000,-0.388,21963.000,7.000,0.381,10735.000,4.000,42.456,1551.000,1.000,21.711,14035.000,5.000
E01000068,Barking and Dagenham 016E,E09000002,Barking and Dagenham,25.603,10421.000,4.000,0.123,13349.000,5.000,0.075,17599.000,6.000,16.187,16416.000,5.000,0.167,13509.000,5.000,0.946,3970.000,2.000,41.502,1777.000,1.000,31.382,8062.000,3.000
E01000069,Barking and Dagenham 011C,E09000002,Barking and Dagenham,16.375,17580.000,6.000,0.087,18292.000,6.000,0.070,18888.000,6.000,16.481,16211.000,5.000,-0.626,25051.000,8.000,0.032,16201.000,5.000,31.781,5792.000,2.000,28.360,9748.000,3.000
E01000070,Barking and Dagenham 011D,E09000002,Barking and Dagenham,21.038,13531.000,5.000,0.110,14981.000,5.000,0.077,17070.000,6.000,14.434,17805.000,6.000,-0.442,22662.000,7.000,0.840,5018.000,2.000,35.596,3806.000,2.000,27.639,10170.000,4.000
E01000071,Barking and Dagenham 011E,E09000002,Barking and Dagenham,18.848,15370.000,5.000,0.130,12518.000,4.000,0.058,22157.000,7.000,14.114,18062.000,6.000,-0.261,20051.000,7.000,-0.155,18962.000,6.000,40.981,1935.000,1.000,22.064,13807.000,5.000
E01000072,Barking and Dagenham 017E,E09000002,Barking and Dagenham,41.016,3974.000,2.000,0.241,4451.000,2.000,0.138,7689.000,3.000,34.242,7028.000,3.000,0.478,9357.000,3.000,1.197,2249.000,1.000,46.957,722.000,1.000,30.082,8754.000,3.000
E01000073,Barking and Dagenham 012B,E09000002,Barking and Dagenham,38.757,4645.000,2.000,0.209,6133.000,2.000,0.135,7982.000,3.000,35.140,6712.000,3.000,0.570,8284.000,3.000,1.346,1554.000,1.000,43.442,1340.000,1.000,23.636,12681.000,4.000
E01000074,Barking and Dagenham 012C,E09000002,Barking and Dagenham,35.044,5870.000,2.000,0.234,4794.000,2.000,0.128,8763.000,3.000,32.398,7662.000,3.000,0.461,9581.000,3.000,0.005,16602.000,6.000,47.408,641.000,1.000,22.806,13256.000,5.000
E01000075,Barking and Dagenham 012D,E09000002,Barking and Dagenham,36.999,5215.000,2.000,0.196,6873.000,3.000,0.118,9943.000,4.000,36.347,6343.000,2.000,0.136,13939.000,5.000,1.057,3101.000,1.000,44.869,1086.000,1.000,39.815,4325.000,2.000
E01000076,Barking and Dagenham 012E,E09000002,Barking and Dagenham,36.246,5451.000,2.000,0.208,6177.000,2.000,0.148,6722.000,3.000,36.193,6380.000,2.000,0.097,14560.000,5.000,0.287,12141.000,4.000,49.870,338.000,1.000,27.020,10531.000,4.000
E01000077,Barking and Dagenham 008F,E09000002,Barking and Dagenham,41.032,3967.000,2.000,0.251,3973.000,2.000,0.159,5768.000,2.000,33.494,7276.000,3.000,0.725,6631.000,3.000,0.487,9244.000,3.000,44.143,1218.000,1.000,35.020,6233.000,2.000
E01000078,Barking and Dagenham 007B,E09000002,Barking and Dagenham,35.033,5874.000,2.000,0.228,5086.000,2.000,0.128,8778.000,3.000,33.668,7216.000,3.000,0.035,15460.000,5.000,0.467,9512.000,3.000,44.311,1183.000,1.000,33.091,7156.000,3.000
E01000079,Barking and Dagenham 009E,E09000002,Barking and Dagenham,34.522,6057.000,2.000,0.227,5141.000,2.000,0.141,7379.000,3.000,24.526,11072.000,4.000,0.045,15314.000,5.000,0.253,12695.000,4.000,48.007,566.000,1.000,29.325,9200.000,3.000
E01000080,Barking and Dagenham 007C,E09000002,Barking and Dagenham,33.185,6596.000,3.000,0.190,7274.000,3.000,0.146,6934.000,3.000,26.379,10114.000,4.000,0.445,9777.000,3.000,0.145,14386.000,5.000,45.385,989.000,1.000,24.492,12095.000,4.000
E01000081,Barking and Dagenham 007D,E09000002,Barking and Dagenham,30.608,7738.000,3.000,0.162,9449.000,3.000,0.116,10130.000,4.000,30.952,8201.000,3.000,0.225,12703.000,4.000,0.192,13643.000,5.000,43.718,1281.000,1.000,32.758,7318.000,3.000
E01000082,Barking and Dagenham 007E,E09000002,Barking and Dagenham,27.895,9100.000,3.000,0.158,9753.000,3.000,0.113,10671.000,4.000,31.053,8160.000,3.000,-0.111,17747.000,6.000,-0.221,19918.000,7.000,43.176,1396.000,1.000,30.006,8806.000,3.000
E01000083,Barking and Dagenham 007F,E09000002,Barking and Dagenham,34.377,6111.000,2.000,0.196,6904.000,3.000,0.134,8025.000,3.000,27.072,9793.000,3.000,0.361,10842.000,4.000,0.434,9982.000,4.000,44.245,1199.000,1.000,35.395,6063.000,2.000
E01000084,Barking and Dagenham 013D,E09000002,Barking and Dagenham,39.815,4315.000,2.000,0.229,5030.000,2.000,0.141,7393.000,3.000,36.839,6237.000,2.000,0.338,11120.000,4.000,1.309,1715.000,1.000,43.432,1344.000,1.000,28.534,9648.000,3.000
E01000085,Barking and Dagenham 013E,E09000002,Barking and Dagenham,35.154,5838.000,2.000,0.189,7390.000,3.000,0.124,9203.000,3.000,36.259,6360.000,2.000,-0.227,19518.000,6.000,1.036,3245.000,1.000,46.139,871.000,1.000,32.465,7484.000,3.000
E01000086,Barking and Dagenham 013F,E09000002,Barking and Dagenham,38.156,4822.000,2.000,0.218,5632.000,2.000,0.142,7318.000,3.000,28.503,9185.000,3.000,0.890,5137.000,2.000,0.868,4717.000,2.000,42.757,1477.000,1.000,26.281,11002.000,4.000
E01000087,Barking and Dagenham 020B,E09000002,Barking and Dagenham,34.357,6122.000,2.000,0.226,5212.000,2.000,0.131,8331.000,3.000,27.171,9744.000,3.000,0.046,15307.000,5.000,0.135,14563.000,5.000,48.565,506.000,1.000,31.357,8076.000,3.000
E01000088,Barking and Dagenham 020C,E09000002,Barking and Dagenham,28.849,8574.000,3.000,0.147,10790.000,4.000,0.100,12495.000,4.000,20.313,13589.000,5.000,0.264,12126.000,4.000,0.552,8365.000,3.000,44.005,1238.000,1.000,34.525,6458.000,2.000
E01000089,Barking and Dagenham 020D,E09000002,Barking and Dagenham,28.968,8508.000,3.000,0.156,9981.000,4.000,0.092,13980.000,5.000,25.246,10703.000,4.000,-0.154,18445.000,6.000,0.189,13690.000,5.000,47.254,668.000,1.000,40.955,3962.000,2.000
E01000090,Barking and Dagenham 020E,E09000002,Barking and Dagenham,28.317,8873.000,3.000,0.169,8855.000,3.000,0.091,14060.000,5.000,22.024,12523.000,4.000,-0.187,18942.000,6.000,0.700,6503.000,2.000,45.475,973.000,1.000,29.464,9116.000,3.000
E01000091,Barking and Dagenham 022A,E09000002,Barking and Dagenham,42.183,3669.000,2.000,0.256,3775.000,2.000,0.175,4635.000,2.000,32.562,7594.000,3.000,0.324,11282.000,4.000,0.994,3573.000,2.000,48.266,540.000,1.000,23.563,12738.000,4.000
E01000092,Barking and Dagenham 019E,E09000002,Barking and Dagenham,33.768,6348.000,2.000,0.215,5804.000,2.000,0.106,11606.000,4.000,18.788,14566.000,5.000,-0.008,16131.000,5.000,0.657,7000.000,3.000,61.059,11.000,1.000,29.993,8818.000,3.000
E01000093,Barking and Dagenham 022B,E09000002,Barking and Dagenham,46.922,2669.000,1.000,0.260,3596.000,2.000,0.169,5065.000,2.000,27.955,9411.000,3.000,0.842,5519.000,2.000,1.073,2977.000,1.000,49.657,370.000,1.000,43.570,3282.000,1.000
E01000094,Barking and Dagenham 022C,E09000002,Barking and Dagenham,28.182,8930.000,3.000,0.167,9003.000,3.000,0.094,13554.000,5.000,10.866,21017.000,7.000,-0.036,16555.000,6.000,0.524,8737.000,3.000,64.961,4.000,1.000,20.692,14763.000,5.000
E01000095,Barking and Dagenham 018E,E09000002,Barking and Dagenham,32.254,6984.000,3.000,0.196,6925.000,3.000,0.095,13425.000,5.000,22.314,12341.000,4.000,-0.111,17759.000,6.000,0.944,3990.000,2.000,63.151,7.000,1.000,18.657,16305.000,5.000
